"";"cache_id";"reporting_level";"area";"Nobs_rl_a";"Nobs_rl";"Nobs";"Perc_a";"Perc_rl"
"394";"BOL_1999_ECH_D1_INC_GPWG";"national";"urban";7151;12409;12409;0,58;1
"395";"BOL_2000_ECH_D1_INC_GPWG";"national";"urban";11422;19929;19929;0,57;1
"396";"BOL_2000_ECH_D1_INC_GPWG";"national";"rural";8507;19929;19929;0,43;1
"397";"BOL_2001_EH_D1_INC_GPWG";"national";"urban";12460;24139;24139;0,52;1
"398";"BOL_2001_EH_D1_INC_GPWG";"national";"rural";11679;24139;24139;0,48;1
"399";"BOL_2002_EH_D1_INC_GPWG";"national";"urban";14127;23898;23898;0,59;1
"400";"BOL_2002_EH_D1_INC_GPWG";"national";"rural";9771;23898;23898;0,41;1
"401";"BOL_2004_ECH_D1_INC_GPWG";"national";"urban";30090;38169;38169;0,79;1
"402";"BOL_2004_ECH_D1_INC_GPWG";"national";"rural";8079;38169;38169;0,21;1
"403";"BOL_2005_EH_D1_INC_GPWG";"national";"rural";7383;16836;16836;0,44;1
"404";"BOL_2005_EH_D1_INC_GPWG";"national";"urban";9453;16836;16836;0,56;1
"405";"BOL_2006_EH_D1_INC_GPWG";"national";"urban";11202;15899;15899;0,7;1
"406";"BOL_2006_EH_D1_INC_GPWG";"national";"rural";4697;15899;15899;0,3;1
"407";"BOL_2007_EH_D1_INC_GPWG";"national";"rural";4984;16382;16382;0,3;1
"408";"BOL_2007_EH_D1_INC_GPWG";"national";"urban";11398;16382;16382;0,7;1
"409";"BOL_2008_EH_D1_INC_GPWG";"national";"urban";8724;14914;14914;0,58;1
"410";"BOL_2008_EH_D1_INC_GPWG";"national";"rural";6190;14914;14914;0,42;1
"411";"BOL_2009_EH_D1_INC_GPWG";"national";"urban";9369;15500;15500;0,6;1
"412";"BOL_2009_EH_D1_INC_GPWG";"national";"rural";6131;15500;15500;0,4;1
"413";"BOL_2011_EH_D1_INC_GPWG";"national";"urban";22692;33654;33654;0,67;1
"414";"BOL_2011_EH_D1_INC_GPWG";"national";"rural";10962;33654;33654;0,33;1
"415";"BOL_2012_EH_D1_INC_GPWG";"national";"urban";21645;31690;31690;0,68;1
"416";"BOL_2012_EH_D1_INC_GPWG";"national";"rural";10045;31690;31690;0,32;1
"417";"BOL_2013_EH_D1_INC_GPWG";"national";"urban";26744;35405;35405;0,76;1
"418";"BOL_2013_EH_D1_INC_GPWG";"national";"rural";8661;35405;35405;0,24;1
"419";"BOL_2014_EH_D1_INC_GPWG";"national";"urban";27958;36351;36351;0,77;1
"420";"BOL_2014_EH_D1_INC_GPWG";"national";"rural";8393;36351;36351;0,23;1
"421";"BOL_2015_EH_D1_INC_GPWG";"national";"urban";28954;36855;36855;0,79;1
"422";"BOL_2015_EH_D1_INC_GPWG";"national";"rural";7901;36855;36855;0,21;1
"423";"BOL_2016_EH_D1_INC_GPWG";"national";"urban";29357;38203;38203;0,77;1
