"";"cache_id";"reporting_level";"area";"N"
"85";"ARM_2010_ILCS_D1_CON_GPWG";"national";"rural";15111
"86";"ARM_2011_ILCS_D1_CON_GPWG";"national";"urban";16627
"87";"ARM_2011_ILCS_D1_CON_GPWG";"national";"rural";14397
"88";"ARM_2012_ILCS_D1_CON_GPWG";"national";"urban";12953
"89";"ARM_2012_ILCS_D1_CON_GPWG";"national";"rural";7181
"90";"ARM_2013_ILCS_D1_CON_GPWG";"national";"urban";12006
"91";"ARM_2013_ILCS_D1_CON_GPWG";"national";"rural";7825
"92";"ARM_2014_ILCS_D1_CON_GPWG";"national";"rural";8167
"93";"ARM_2014_ILCS_D1_CON_GPWG";"national";"urban";11817
"94";"ARM_2015_ILCS_D1_CON_GPWG";"national";"urban";11315
"95";"ARM_2015_ILCS_D1_CON_GPWG";"national";"rural";7875
"96";"ARM_2016_ILCS_D1_CON_GPWG";"national";"urban";11554
"97";"ARM_2016_ILCS_D1_CON_GPWG";"national";"rural";7721
"98";"ARM_2017_ILCS_D1_CON_GPWG";"national";"urban";16983
"99";"ARM_2017_ILCS_D1_CON_GPWG";"national";"rural";11522
"100";"ARM_2018_ILCS_D1_CON_GPWG";"national";"urban";10871
"101";"ARM_2018_ILCS_D1_CON_GPWG";"national";"rural";7625
"102";"ARM_2019_ILCS_D1_CON_GPWG";"national";"urban";11027
"103";"ARM_2019_ILCS_D1_CON_GPWG";"national";"rural";7627
"104";"ARM_2020_ILCS_D1_CON_GPWG";"national";"rural";7636
"105";"ARM_2020_ILCS_D1_CON_GPWG";"national";"urban";10062
"106";"ARM_2021_ILCS_D1_CON_GPWG";"national";"urban";9678
"107";"ARM_2021_ILCS_D1_CON_GPWG";"national";"rural";7516
"108";"ARM_2022_ILCS_D1_CON_GPWG";"national";"urban";10620
"109";"ARM_2022_ILCS_D1_CON_GPWG";"national";"rural";7834
"110";"AUS_1981_IHS-LIS_D1_INC_BIN";"national";"";400
"111";"AUS_1985_IDS-LIS_D1_INC_BIN";"national";"";300
"112";"AUS_1989_SIHCA-LIS_D1_INC_BIN";"national";"";400
"113";"AUS_1995_SIH-LIS_D1_INC_BIN";"national";"";400
"114";"AUS_2001_SIH-LIS_D1_INC_BIN";"national";"";400
"115";"AUS_2003_SIH-LIS_D1_INC_BIN";"national";"";400
"116";"AUS_2004_SIH-HES-LIS_D1_INC_BIN";"national";"";400
"117";"AUS_2008_SIH-LIS_D1_INC_BIN";"national";"";300
"118";"AUS_2010_SIH-HES-LIS_D1_INC_BIN";"national";"";300
"119";"AUS_2014_SIH-LIS_D1_INC_BIN";"national";"";400
"120";"AUS_2016_SIH-HES-LIS_D1_INC_BIN";"national";"";400
"121";"AUS_2018_SIH-LIS_D1_INC_BIN";"national";"";400
"122";"AUT_1994_ECHP-LIS_D1_INC_BIN";"national";"";400
"123";"AUT_1995_ECHP-LIS_D1_INC_BIN";"national";"";400
"124";"AUT_1996_ECHP-LIS_D1_INC_BIN";"national";"";400
"125";"AUT_1997_ECHP-LIS_D1_INC_BIN";"national";"";399
"126";"AUT_1998_ECHP-LIS_D1_INC_BIN";"national";"";400
"127";"AUT_1999_ECHP-LIS_D1_INC_BIN";"national";"";400
"128";"AUT_2000_ECHP-LIS_D1_INC_BIN";"national";"";400
"129";"AUT_2004_EU-SILC_D1_INC_GPWG";"national";"rural";5013
"130";"AUT_2004_EU-SILC_D1_INC_GPWG";"national";"urban";6537
"131";"AUT_2005_EU-SILC_D1_INC_GPWG";"national";"rural";5915
"132";"AUT_2005_EU-SILC_D1_INC_GPWG";"national";"urban";7125
"133";"AUT_2006_EU-SILC_D1_INC_GPWG";"national";"rural";6480
"134";"AUT_2006_EU-SILC_D1_INC_GPWG";"national";"urban";8402
"135";"AUT_2007_EU-SILC_D1_INC_GPWG";"national";"rural";7303
"136";"AUT_2007_EU-SILC_D1_INC_GPWG";"national";"urban";9380
"137";"AUT_2008_EU-SILC_D1_INC_GPWG";"national";"urban";7887
"138";"AUT_2008_EU-SILC_D1_INC_GPWG";"national";"rural";5734
"139";"AUT_2009_EU-SILC_D1_INC_GPWG";"national";"urban";7928
"140";"AUT_2009_EU-SILC_D1_INC_GPWG";"national";"rural";5675
"141";"AUT_2010_EU-SILC_D1_INC_GPWG";"national";"urban";8352
"142";"AUT_2010_EU-SILC_D1_INC_GPWG";"national";"rural";5733
"143";"AUT_2011_EU-SILC_D1_INC_GPWG";"national";"urban";8372
"144";"AUT_2011_EU-SILC_D1_INC_GPWG";"national";"rural";5561
"145";"AUT_2012_EU-SILC_D1_INC_GPWG";"national";"rural";6010
"146";"AUT_2012_EU-SILC_D1_INC_GPWG";"national";"urban";7900
"147";"AUT_2013_EU-SILC_D1_INC_GPWG";"national";"urban";7719
"148";"AUT_2013_EU-SILC_D1_INC_GPWG";"national";"rural";5530
"149";"AUT_2014_EU-SILC_D1_INC_GPWG";"national";"urban";7458
"150";"AUT_2014_EU-SILC_D1_INC_GPWG";"national";"rural";5524
